data
2783 
4321 
2085 
4366 
2072 
2178 
1920 
4246 
3419 
2336 
1910 
2106 
4139 
4117 
4123 
2622 
2586 
2844 
1990 
2238 
2132 
1818 
1932 
2475 
4820 
3108 
2150 
2100 
3596 
2005 
4420 
2571 
2584 
4351 
1784 
1935 
1807 
3333 
2408 
2145 
2050 
2435 
1781 
1785 
1937 
2037 
2250 
2465 
2267 
1975 
1992 
2047 
1952 
2055 
2265 
2149 
2067 
2522 
2655 
2494 
2635 
2373 
2335 
2904 
2589 
2176 
2213 
2251 
2738 
3090 
2200 
2187 
1935 
1902 
1939 
1731 
2705 
1940 
2007 
2212 
1992 
1888 
1931 
2140 
2898 
2150 
2381 
2351 
1911 
1992 
2104 
2277 
2417 
3783 
1750 
1947 
1765 
1748 
1727 
2338 
