data
5778 
5328 
3099 
3273 
3461 
3264 
3040 
3203 
3329 
3187 
3124 
3244 
3282 
3237 
3117 
3086 
3146 
2985 
3326 
3229 
3361 
3132 
3075 
3086 
3219 
3337 
3318 
3275 
3261 
3344 
3294 
3127 
3153 
3265 
3236 
3354 
3230 
3427 
3448 
3508 
5398 
3813 
6701 
3733 
5238 
3467 
3470 
3369 
3443 
3347 
3677 
3415 
5632 
3489 
3652 
3521 
5214 
4710 
3793 
4702 
5014 
3697 
3379 
3996 
3778 
3691 
3240 
3437 
4537 
3827 
3522 
3250 
4226 
3984 
3502 
3339 
3166 
5608 
3984 
3522 
3374 
4200 
4112 
3559 
3263 
3215 
4741 
3600 
3430 
3130 
4949 
3908 
3650 
3249 
3877 
4128 
3728 
3548 
3531 
3859 
