data
17808 
17297 
9112 
10958 
13361 
11687 
9137 
12860 
11677 
9183 
15920 
12337 
11983 
20276 
9628 
11153 
13384 
10751 
10353 
13997 
13134 
8232 
12324 
13109 
8584 
11903 
12817 
8569 
12219 
15364 
12621 
8122 
13267 
14034 
10680 
9690 
14157 
10257 
10345 
13861 
12498 
9214 
16130 
21014 
13879 
16218 
19233 
12500 
14137 
15111 
14351 
13087 
7964 
15776 
15377 
15322 
11027 
12125 
13796 
15377 
14438 
14150 
8522 
10639 
10680 
8052 
7997 
7727 
9149 
8228 
7784 
7725 
7670 
7796 
8029 
7812 
7623 
7890 
7891 
8087 
7804 
7887 
8194 
7799 
10546 
7761 
8235 
7975 
8056 
8024 
7591 
7719 
7748 
7578 
7712 
7925 
7991 
7656 
7783 
7622 
